TS,TEMP,WIND
2018-08-08,73,5
2018-08-09,72.3,4
2018-08-10,76.2,6.4
2018-08-11,80.2,3.4
2018-08-12,81,6.4
2018-08-13,80.3,4.5
2018-08-14,78,6.8
2018-08-15,75,5.7
2018-08-16,73.6,3.8
2018-08-17,76.7,11.7
2018-08-18,73.6,4.2
2018-08-19,75.3,3.9
2018-08-20,73,3.7
2018-08-21,76.9,10.9
2018-08-22,67.3,9
2018-08-23,64.4,3.7
2018-08-24,70.3,3.1
2018-08-25,73.5,7.5
2018-08-26,77.1,7.5
2018-08-27,73.9,2.7
2018-08-28,75.2,4.7
2018-08-29,77.9,7.9
2018-08-30,69,3.5
2018-08-31,69.2,3.1
2018-09-01,71.9,3.2
2018-09-02,68,5.2
2018-09-03,65.1,5
2018-09-04,66.5,2.9
2018-09-05,68.9,2.9
2018-09-06,71.7,6.4
2018-09-07,73.9,3.1
2018-09-08,74.1,4.3
2018-09-09,78.1,5
2018-09-10,75.6,4.8
2018-09-11,75.3,11.4
2018-09-12,62.8,3.1
2018-09-13,66,3.8
2018-09-14,71.9,8.3
2018-09-15,59.6,4.8
2018-09-16,58.1,2.5
2018-09-17,66,9.5
2018-09-18,70.9,8
2018-09-19,71.5,2.1
2018-09-20,70.7,1.8
2018-09-21,69.8,3.5
2018-09-22,66.4,1.5
2018-09-23,66.8,7
2018-09-24,56.5,5.4
2018-09-25,52.7,3
2018-09-26,52.4,3.9
2018-09-27,63.4,5.1
2018-09-28,57.8,2.2
2018-09-29,57.7,3.7
2018-09-30,58.1,5.5
2018-10-01,54.2,3.9
2018-10-02,57.7,3.3
2018-10-03,63.3,3.9
2018-10-04,61.4,3.2
2018-10-05,58.5,1.4
2018-10-06,56.8,1.3
2018-10-07,57.3,2.4
2018-10-08,60.7,6.5
2018-10-09,57.2,7.9
2018-10-10,50.3,10.7
2018-10-11,47.7,2.7
2018-10-12,55.3,6.3
2018-10-13,56.6,8.5
2018-10-14,47.5,6.6
2018-10-15,43.9,3.1
2018-10-16,55.8,7.5
2018-10-17,64.2,2.7
2018-10-18,68.4,6.6
2018-10-19,69.8,9.7
2018-10-20,51.9,2.2
2018-10-21,63.6,6.7
2018-10-22,47,10.3
2018-10-23,47.4,16.1
2018-10-24,47.7,8.2
2018-10-25,42.7,11.5
2018-10-26,39.8,8.6
2018-10-27,33,3.4
2018-10-28,38.3,7.5
2018-10-29,42,5.2
2018-10-30,52.6,5
2018-10-31,42.5,6.9
2018-11-01,38.3,4.5
2018-11-02,54.7,5.8
2018-11-03,54.5,2.4
2018-11-04,50,10.6
2018-11-05,44,4.6
2018-11-06,45.9,6.1
2018-11-07,39.9,2.8
2018-11-08,40,0.7
2018-11-09,44.3,3
2018-11-10,41,5.3
2018-11-11,45.9,10.7
2018-11-12,36.3,8.8
2018-11-13,40.8,3.8
2018-11-14,40.5,2.2
2018-11-15,39.9,2.4
2018-11-16,48.3,7.9
2018-11-17,46,5.7
2018-11-18,41.8,2.4
2018-11-19,42.6,2.5
2018-11-20,38.5,13.7
2018-11-21,31,17.4
2018-11-22,31.9,15.5
